set JOBS :=
L1C1 L1C2 L1C3 L1C4 L1C5
L2C1 L2C2 L2C3 L2C4 L2C5
L3C1 L3C2 L3C3 L3C4 L3C5
L4C1 L4C2 L4C3 L4C4 L4C5
L5C1 L5C2 L5C3 L5C4 L5C5
L6C1 L6C2 L6C3 L6C4 L6C5
L7C1 L7C2 L7C3 L7C4 L7C5
L8C1 L8C2 L8C3 L8C4 L8C5
;

param a := 0.0;
param b := 5.0;

param p :=
L1C1 10  L1C2 20  L1C3 15  L1C4 0  L1C5 60
L2C1 20  L2C2 50  L2C3 5  L2C4 6  L2C5 0
L3C1 10  L3C2 20  L3C3 25  L3C4 8  L3C5 15
L4C1 10  L4C2 10  L4C3 5  L4C4 4  L4C5 0
L5C1 100  L5C2 120  L5C3 5  L5C4 26  L5C5 0
L6C1 30  L6C2 10  L6C3 25  L6C4 2  L6C5 0
L7C1 30  L7C2 10  L7C3 25  L7C4 2  L7C5 45
L8C1 10  L8C2 20  L8C3 25  L8C4 0  L8C5 0
;

param d :=
L1C1 10  L1C2 10  L1C3 10  L1C4 10  L1C5 10
L2C1 5  L2C2 5  L2C3 5  L2C4 5  L2C5 5
L3C1 50  L3C2 50  L3C3 50  L3C4 50  L3C5 50
L4C1 25  L4C2 25  L4C3 25  L4C4 25  L4C5 25
L5C1 30  L5C2 30  L5C3 30  L5C4 30  L5C5 30
L6C1 10  L6C2 10  L6C3 10  L6C4 10  L6C5 10
L7C1 15  L7C2 15  L7C3 15  L7C4 15  L7C5 15
L8C1 22  L8C2 22  L8C3 22  L8C4 22  L8C5 22
;

param setup :
       L1C1 L1C2 L1C3 L1C4 L1C5 L2C1 L2C2 L2C3 L2C4 L2C5 L3C1 L3C2 L3C3 L3C4 L3C5 L4C1 L4C2 L4C3 L4C4 L4C5 L5C1 L5C2 L5C3 L5C4 L5C5 L6C1 L6C2 L6C3 L6C4 L6C5 L7C1 L7C2 L7C3 L7C4 L7C5 L8C1 L8C2 L8C3 L8C4 L8C5 :=
L1C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L1C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L1C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L1C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L1C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L2C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L2C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L2C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L2C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L2C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L3C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L3C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L3C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L3C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L3C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L4C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L4C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L4C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L4C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L4C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L5C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L5C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L5C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L5C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L5C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L6C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L6C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L6C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L6C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L6C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L7C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L7C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L7C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L7C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L7C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
L8C1    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3
L8C2    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3
L8C3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3
L8C4    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3
L8C5    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0    3    3    3    3    0
;

end;
